timestamp,set_val,lux_raw,lux_corrected,visible,ir,sensor_settings,dark_offset_lux
2026-09-01T11:56:42.972987,0.2,465.11999999999995,465.11999999999995,3506,1025,MED  / 100ms,0.0
2026-09-01T11:56:42.977974,0.2,465.11999999999995,465.11999999999995,3506,1025,MED  / 100ms,0.0
2026-09-01T11:56:42.982422,0.2,465.11999999999995,465.11999999999995,3506,1025,MED  / 100ms,0.0
2026-09-01T11:56:42.987530,0.2,465.11999999999995,465.11999999999995,3506,1025,MED  / 100ms,0.0
2026-09-01T11:56:42.991925,0.2,465.11999999999995,465.11999999999995,3506,1025,MED  / 100ms,0.0
2026-09-01T11:56:42.996254,0.2,465.11999999999995,465.11999999999995,3506,1025,MED  / 100ms,0.0
2026-09-01T11:56:43.000882,0.2,465.11999999999995,465.11999999999995,3506,1025,MED  / 100ms,0.0
2026-09-01T11:56:43.005374,0.2,465.11999999999995,465.11999999999995,3506,1025,MED  / 100ms,0.0
2026-09-01T11:56:43.009752,0.2,465.11999999999995,465.11999999999995,3506,1025,MED  / 100ms,0.0
2026-09-01T11:56:43.014081,0.2,465.11999999999995,465.11999999999995,3506,1025,MED  / 100ms,0.0
2026-09-01T11:56:43.018444,0.2,465.11999999999995,465.11999999999995,3506,1025,MED  / 100ms,0.0
2026-09-01T11:56:43.022767,0.2,465.11999999999995,465.11999999999995,3506,1025,MED  / 100ms,0.0
2026-09-01T11:56:43.027072,0.2,465.11999999999995,465.11999999999995,3506,1025,MED  / 100ms,0.0
2026-09-01T11:56:43.031385,0.2,465.11999999999995,465.11999999999995,3506,1025,MED  / 100ms,0.0
2026-09-01T11:56:43.035691,0.2,465.11999999999995,465.11999999999995,3506,1025,MED  / 100ms,0.0
2026-09-01T11:56:43.040220,0.2,464.9568,464.9568,3505,1025,MED  / 100ms,0.0
2026-09-01T11:56:43.044658,0.2,464.9568,464.9568,3505,1025,MED  / 100ms,0.0
2026-09-01T11:56:43.048983,0.2,464.9568,464.9568,3505,1025,MED  / 100ms,0.0
2026-09-01T11:56:43.053300,0.2,464.9568,464.9568,3505,1025,MED  / 100ms,0.0
2026-09-01T11:56:43.058203,0.2,464.9568,464.9568,3505,1025,MED  / 100ms,0.0
2026-09-01T11:56:43.062477,0.2,464.9568,464.9568,3505,1025,MED  / 100ms,0.0
2026-09-01T11:56:43.066734,0.2,464.9568,464.9568,3505,1025,MED  / 100ms,0.0
2026-09-01T11:56:43.071063,0.2,464.9568,464.9568,3505,1025,MED  / 100ms,0.0
2026-09-01T11:56:43.075337,0.2,464.9568,464.9568,3505,1025,MED  / 100ms,0.0
2026-09-01T11:56:43.079595,0.2,464.9568,464.9568,3505,1025,MED  / 100ms,0.0
2026-09-01T11:56:43.083850,0.2,464.9568,464.9568,3505,1025,MED  / 100ms,0.0
2026-09-01T11:56:43.088129,0.2,464.9568,464.9568,3505,1025,MED  / 100ms,0.0
2026-09-01T11:56:43.092394,0.2,464.9568,464.9568,3505,1025,MED  / 100ms,0.0
2026-09-01T11:56:43.096687,0.2,464.9568,464.9568,3505,1025,MED  / 100ms,0.0
2026-09-01T11:56:43.100951,0.2,464.9568,464.9568,3505,1025,MED  / 100ms,0.0
2026-09-01T11:56:43.105228,0.2,464.9568,464.9568,3505,1025,MED  / 100ms,0.0
2026-09-01T11:56:43.109491,0.2,464.9568,464.9568,3505,1025,MED  / 100ms,0.0
2026-09-01T11:56:43.113748,0.2,464.9568,464.9568,3505,1025,MED  / 100ms,0.0
2026-09-01T11:56:43.118022,0.2,464.9568,464.9568,3505,1025,MED  / 100ms,0.0
2026-09-01T11:56:43.122314,0.2,464.9568,464.9568,3505,1025,MED  / 100ms,0.0
2026-09-01T11:56:43.126595,0.2,464.9568,464.9568,3505,1025,MED  / 100ms,0.0
2026-09-01T11:56:43.130864,0.2,464.9568,464.9568,3505,1025,MED  / 100ms,0.0
2026-09-01T11:56:43.135124,0.2,464.9568,464.9568,3505,1025,MED  / 100ms,0.0
2026-09-01T11:56:43.139376,0.2,464.9568,464.9568,3505,1025,MED  / 100ms,0.0
2026-09-01T11:56:43.143794,0.2,464.9568,464.9568,3505,1025,MED  / 100ms,0.0
2026-09-01T11:56:43.148056,0.2,464.9568,464.9568,3505,1025,MED  / 100ms,0.0
2026-09-01T11:56:43.152332,0.2,464.9568,464.9568,3505,1025,MED  / 100ms,0.0
2026-09-01T11:56:43.156649,0.2,464.9568,464.9568,3505,1025,MED  / 100ms,0.0
2026-09-01T11:56:43.160922,0.2,464.9568,464.9568,3505,1025,MED  / 100ms,0.0
2026-09-01T11:56:43.165191,0.2,464.9568,464.9568,3505,1025,MED  / 100ms,0.0
2026-09-01T11:56:43.169470,0.2,464.9568,464.9568,3505,1025,MED  / 100ms,0.0
2026-09-01T11:56:43.173754,0.2,464.9568,464.9568,3505,1025,MED  / 100ms,0.0
2026-09-01T11:56:43.178025,0.2,464.9568,464.9568,3505,1025,MED  / 100ms,0.0
2026-09-01T11:56:43.182286,0.2,464.9568,464.9568,3505,1025,MED  / 100ms,0.0
2026-09-01T11:56:43.186571,0.2,464.9568,464.9568,3505,1025,MED  / 100ms,0.0
2026-09-01T11:56:43.190838,0.2,464.9568,464.9568,3505,1025,MED  / 100ms,0.0
2026-09-01T11:56:43.195108,0.2,464.9568,464.9568,3505,1025,MED  / 100ms,0.0
2026-09-01T11:56:43.199388,0.2,464.9568,464.9568,3505,1025,MED  / 100ms,0.0
2026-09-01T11:56:43.203656,0.2,464.9568,464.9568,3505,1025,MED  / 100ms,0.0
2026-09-01T11:56:43.207919,0.2,464.9568,464.9568,3505,1025,MED  / 100ms,0.0
2026-09-01T11:56:43.212180,0.2,464.9568,464.9568,3505,1025,MED  / 100ms,0.0
2026-09-01T11:56:43.216449,0.2,464.9568,464.9568,3505,1025,MED  / 100ms,0.0
2026-09-01T11:56:43.220719,0.2,464.9568,464.9568,3505,1025,MED  / 100ms,0.0
2026-09-01T11:56:43.224982,0.2,464.9568,464.9568,3505,1025,MED  / 100ms,0.0
2026-09-01T11:56:43.229249,0.2,464.9568,464.9568,3505,1025,MED  / 100ms,0.0
2026-09-01T11:56:43.233519,0.2,464.9568,464.9568,3505,1025,MED  / 100ms,0.0
2026-09-01T11:56:43.237785,0.2,464.9568,464.9568,3505,1025,MED  / 100ms,0.0
2026-09-01T11:56:43.242049,0.2,464.9568,464.9568,3505,1025,MED  / 100ms,0.0
2026-09-01T11:56:43.246494,0.2,464.9568,464.9568,3505,1025,MED  / 100ms,0.0
